ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,TRN_TYPE
103,17,17,1,0,1,0,0,0,1,3,0,31.592,8,0,38.85,38.85,FRAUD
647,19,19,0,0,0,0,0,0,1,3,1,44.184,19,0,12.95,12.95,FRAUD
689,14,14,0,0,0,1,0,0,1,3,0,35.608,18,0,12.95,12.95,FRAUD
104,19,19,0,0,0,1,1,1,1,3,0,44.04,17,3,38.85,38.85,LEGIT
166,12,12,0,0,1,0,1,0,1,2,0,-35.896,8,0,12.95,12.95,FRAUD
648,13,13,0,,0,1,0,,1,2,1,34.032,24,0,12.95,12.95,FRAUD
649,23,23,1,0,1,1,0,0,3,3,0,46.064,9,0,12.95,12.95,FRAUD
669,14,14,1,0,1,0,0,0,3,3,0,28.568,9,9,10.36,10.36,FRAUD
656,23,23,0,0,1,1,0,0,1,3,0,30.304,10,2,39.96,39.96,FRAUD
602,19,18,0,0,1,1,1,0,2,2,0,4.688,21,5,12.95,12.95,LEGIT
105,22,22,,0,1,0,0,0,1,0,0,31.992,11,2,12.95,12.95,LEGIT
655,19,19,0,0,0,0,,0,3,3,1,37.784,21,0,12.95,12.95,FRAUD
685,19,19,0,0,,0,0,0,1,4,1,7.792,7,0,38.85,38.85,FRAUD
101,23,23,0,0,0,1,0,0,1,2,0,9.768,22,2,38.85,38.85,LEGIT
683,13,13,0,0,1,0,0,1,1,0,0,-21.184,9,9,12.95,12.95,FRAUD
113,18,18,0,,1,0,1,0,1,2,1,18.736,8,1,38.85,38.85,LEGIT
693,10,10,0,0,0,0,1,0,1,2,0,26.424,20,0,38.85,38.85,LEGIT
683,7,7,1,0,0,1,0,0,1,3,1,-31.456,17,4,38.85,38.85,FRAUD
128,6,6,0,0,1,1,1,0,1,3,0,-52.84,9,0,25.9,25.9,FRAUD
649,15,15,0,0,1,0,0,0,1,2,0,26.48,10,0,25.9,25.9,FRAUD
430,18,18,0,0,1,1,1,0,1,3,0,-54.144,10,0,12.95,12.95,FRAUD
151,20,20,0,0,1,1,1,0,1,3,0,-2.24,6,0,25.9,25.9,LEGIT
614,10,10,1,0,1,1,1,0,1,3,0,-45,6,0,12.95,12.95,LEGIT
655,14,14,0,0,1,0,0,0,1,2,1,-34.896,16,2,12.95,12.95,FRAUD
634,19,19,0,0,0,0,0,0,1,3,0,28.096,23,0,38.85,38.85,LEGIT
667,14,14,0,0,1,0,0,0,1,2,0,-16.552,9,0,12.95,12.95,FRAUD
683,16,16,0,0,1,0,0,0,1,3,0,31.808,7,3,12.95,12.95,FRAUD
114,20,20,0,0,1,1,1,0,1,3,1,-53.232,10,5,12.95,12.95,LEGIT
127,9,9,0,0,0,1,1,0,1,2,0,41.216,15,1,12.95,12.95,FRAUD
679,17,17,0,0,1,1,0,0,1,0,0,9.736,9,9,38.85,38.85,FRAUD
670,20,20,0,0,0,0,1,0,2,3,1,12.672,20,0,49.95,49.95,LEGIT
107,17,17,1,0,0,0,0,0,2,3,1,35.6,23,0,38.85,38.85,LEGIT
